1***陈,2017-08-07 13:08:25,好酒，就是很不容易抢 好
j***林,2017-08-07 13:00:56,一根本不够喝，希望能多买几次
j***林,2017-08-07 12:59:56,非常好
詹***1,2017-08-07 12:45:37,厂家很给力
詹***1,2017-08-07 12:40:21,发货速度很快，包装也很得体，货真价实
z***2,2017-08-07 12:24:09,很好很满意
郭***豪,2017-08-07 12:00:35,正品
郭***豪,2017-08-07 12:00:04,正品
林***5,2017-08-07 10:52:27,货源保持完好，就是一瓶装的少了个袋子
小***别,2017-08-07 10:17:17,酒还是一如既往的好，唯一不好就是快递，感觉盒子都变形了
a***2,2017-08-07 10:10:18,从工厂商城直购，心里踏实。以前从*东买过两瓶。到货后包装底部有开过的痕迹。他们的解释是打包时忘记放赠品，所以开箱是为了放赠品。天知道他们说得是真是假。直购好，放心。
w***t,2017-08-07 09:29:11,包装很严实，至今没有拆包装，准备就这么短期收藏了
w***t,2017-08-07 09:28:19,包装非常好！酒是2017年6月份的
w***t,2017-08-07 09:27:36,包装非常好。酒是2017年6月份的
琪***7,2017-08-07 09:23:27,都很满意，只是希望下次快递可以提前打电话
樱***6,2017-08-07 08:39:13,帮同事买的 发货快
木***叶,2017-08-06 23:58:36,很好，我很满意，希望能再次购买
木***叶,2017-08-06 23:58:23,很好，我很满意，希望能再次购买
木***叶,2017-08-06 23:58:11,很好，我很满意，希望能再次购买
木***叶,2017-08-06 23:57:56,很好，我很满意，希望能再次购买
木***叶,2017-08-06 23:57:08,很好，我很满意，希望能再次购买
木***叶,2017-08-06 23:56:49,很好，我很满意，希望能再次购买
s***k,2017-08-06 23:36:02,第二天抢到的
n***8,2017-08-06 23:24:36,好
n***8,2017-08-06 23:24:14,好
名***兔,2017-08-06 18:59:48,飞天也这么难抢。
w***i,2017-08-06 18:56:08,给老爸抢的。放几年再喝。
1***s,2017-08-06 17:55:36,瓶封口是松的，怀疑假酒，这个质量不靠谱！因为没喝，强烈怀疑质量有问题！
c***6,2017-08-06 17:06:17,东西收到了，满意。客服也很不错，就是这次物流没以前给力了。
z***2,2017-08-06 17:00:41,非常棒，很满意
b***星,2017-08-06 16:52:44,收到了，挺好，明天继续抢丁酉鸡年生肖酒
